,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
42,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,k_lXw4_DNc5ATpdTue-sTh2mFtszpIKLY9cYoEnIh2l-S_s,핑크 비버,545,75,55,False,False,True,True
43,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,1FZ7kukfpelN9GKo4r2cAXQj0U5zB6RCR_7GNtlLMFH6c45z754X4Qeaww,pft,542,57,37,False,False,True,False
44,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,jw37jccsXfeO0nohraGORsR0odh_srvwTJFakn3WyeDt-FfuZacZLCbdOw,hei si yyds,538,63,43,False,False,True,False
45,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,EPuRlFfE3Su0aHTIoQCrXq27WP3PjHDXYC9IubirWPWv9L0,멍바보,534,71,50,False,False,True,True
46,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,eWic05aXfkLZKZj3e-Yd8EagaJdlGbULXBjnYYZDKIlAaQo,FA ady,526,67,52,False,False,True,True
47,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,ZvJUsEovnc7kx75OoRJrCt76IOa-M8ZVMI6RiwEJzlZqhAU,슈퍼빅고수,524,86,64,False,False,True,False
48,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,EXSv69ONPkBBuv5kTuwg93w2zGJyHjYAFwEWmsqffH_-piuWVLuNqvgNww,BARKBOOBARK,523,91,67,False,False,True,True
49,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,XtVAWhSGikTJ9INu7JRVGj6P80JkABalZfFBfELmoOQMs-M63xqAzgiphg,지효옥아기,523,71,47,False,False,True,True
50,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,jAINuRmjMpgHC7jNCSbnNeKXxlTow2jvyozgblaQqUPKwHo,핑x챗no,522,145,115,False,False,True,False
51,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,NLsV3VvRwDYGVZWDV2tzfzGx5ntt2x6NlLfO08pO5fQMhIM,펭로스,522,63,40,False,False,False,False
52,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,HfccCv-YOx9UrpgxDMMiKb0YybeF1VIp8sGpomTBruXkv-DRFemXfzbtig,뀨들뀨들,520,118,99,False,False,True,False
53,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,YF6BRdgq_hu23LnW8sXghujn-E7H1I25i8LnSodPeJdO4dBbj4MNFJO8Zw,좋은매칭메커니즘,520,77,54,False,False,True,False
54,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,a9B_gWzAzhqZiBMnJ5PQKf5PA5kjhOulTqFUTCDHAHVt33U,이렐아칼리,519,80,57,False,False,True,True
55,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,R7a_PAooWXXbw6wuxrvCUMd0h3ciSMP2sRDrbC7sdkAyYw,갈과 배 음료,518,73,51,False,False,False,False
56,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,97PeO-cRgTxLUR1TfhhVFQbKjp1Cl4Lvp_4YVuWKzfGljQ,cholrae,517,79,52,False,False,True,False
57,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,2HI69Ye_CUgKFJIix7osNg8WHeEsaPlL03Ts2inbtN9fh8s,코코다롱,512,116,94,False,False,True,True
58,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,YXR9v0AM3v7OJGy4USf8ed0A1nMfCQIPRRoaiMYiJT00fEc,카타형,511,115,100,False,False,True,True
59,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,UF3js0oHpnc4NKq2pJYNLg0GDaQ4ChymPVEvl0tLFmINc-zX-M8cGXIgPA,2954600480949856,511,110,94,False,False,True,False
60,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,OQTdcDeM165d5J6go2bfUA-WLGBR749Wh_s5ZqybqjeJAL-fpc2BW4hpow,lhnzdqwerzxcv,511,72,47,False,False,True,False
61,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,H3pPck_tBy6LHYdIuDyM4AhRSPKGwyKyjbvcxkthJYkHv6uSlhgow3VVnA,yang zhi bu ou,510,60,34,False,False,True,True
62,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,Iq9V2xu8-hV45hA4K6kBBC6AFUi5E1TqFna3R36TouJnxjQ,헤어지기 싫어,506,75,51,False,False,True,False
63,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,zEQlALDktW0qxvSeVfe_uSJWSKLplNWKhYKofQOvVMLvnO8,광 왕,501,123,108,False,False,True,True
64,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,4eczWNiC_Tn6dkSEXiVCuuwEksTnxKVNt38MMWjyJDn1N9I,Indexy,501,85,69,False,False,True,True
65,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,L4OolHLOdnXhak6L5Gqe5-fvmzDGqAfkDcD9UC-ow3hiE18,나무관세음늘보살,501,77,58,False,False,True,False
66,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,Pyr7pYDzbjLMxwBlYvD2jQY2fzybG5XDKwA3LZgl3hndRi0,llIIIlIllIIlll,486,81,59,False,False,True,False
67,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,NJllTjMCPltAWNiCTghnI2PttHHD3TpVQ_9KcCVoyh2DLOeibv5BosXbIg,엄마를 위해서,481,90,49,False,False,True,False
68,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,YQ3_p59XFtginesIXo8lJKP_ppXal7h8BA7egTE-M3olCQY,HLE Loki,452,72,57,False,False,True,False
69,966df365-7dea-34ca-839a-2cec050ba64a,RANKED_SOLO_5x5,CHALLENGER,I,W6rvJTbUUwuoBqkCGFYV2UtZmwk9hmV7L5l8hj1QlQP-SAc,시간의 숲 FoT,429,105,94,False,False,True,False
